カセットNo,薬品コード,薬品名称,警告量,剤
1-154,1333,プラバスタチンNa錠 10mg「ケミファ」,10,錠剤
1-156,3537,トリクロルメチアジド 2mg「NIG」,0,錠剤
1-157,1367,プレドニゾロン錠 5mg「タケダ」,100,錠剤
1-158,2265,沈降炭酸カルシウム錠 500mg 「三,20,錠剤
1-161,2402,アンブロキソール塩酸塩錠15mg 「トーワ,0,錠剤
1-162,2506,ロフラゼプ酸エチル錠 1mg 「トーワ」,0,錠剤
1-163,1644,メチコバール錠 500μg,20,錠剤
1-164,1637,メジコン錠 15mg,20,錠剤
1-165,2819,ベタヒスチンメシル酸塩錠 6mg「トーワ」,20,錠剤
1-166,3333,タリージェOD錠 5mg,20,錠剤
1-167,1276,ファモチジンD錠 10mg「EMEC」,20,錠剤
1-168,1277,ファモチジンD錠 20mg「EMEC」,20,錠剤
1-169,2400,ポラプレジンクOD錠 75mg 「サワイ」,20,錠剤
1-170,2500,ジルチアゼム塩酸塩Rカプセル100mg,0,カプセル
1-171,1810,レボトミン錠 25mg,0,錠剤
1-173,1780,ルプラック錠 8mg,0,錠剤
1-178,1751,リボトリール錠 0.5mg,20,錠剤
1-179,1784,レキソタン錠 5mg,0,錠剤
1-180,2263,リマプロストアルファデクス錠 5μg,0,錠剤
1-181,3144,レバミピド錠 100mg「オーツカ」,20,錠剤
1-182,1830,ロキソプロフェンNa錠60mg「トーワ」,20,錠剤
1-184,1850,ロラゼパム錠 0.5mg「サワイ」,20,錠剤
1-185,3145,アトルバスタチン錠 10mg「NP」,20,錠剤
1-186,1124,ノイトロピン錠 4単位,20,錠剤
1-187,2580,カルベジロール錠 2.5mg「サワイ」,20,錠剤
1-189,311,エチゾラム錠0.5mg,20,錠剤
1-191,477,カルバマゼピン錠 100mg「アメル」,0,錠剤
1-194,1368,プレドニゾロン錠 1mg,30,錠剤
1-197,1783,レキソタン錠 2mg,0,錠剤
1-199,1812,レボトミン錠 5mg,0,錠剤
1-200,1855,ワーファリン錠 1mg,20,錠剤
1-201,1681,ユベラNカプ セル 100mg,0,カプセル
1-202,1227,ビオスリー配合錠,0,錠剤
1-203,2187,ランソプ ラゾールOD錠15mg「トーワ」,200,錠剤
1-215,3286,ラメルテオン錠 8mg「武田テバ」,0,錠剤
1-217,3096,エンレスト錠 100mg,20,錠剤
1-218,2438,アシクロビル錠 200mg「トーワ」,0,錠剤
1-219,3027,エゼチミブ錠 10mg「YD」,20,錠剤
1-220,2917,テオフィリン徐放錠 100mg「サワイ」,20,錠剤
1-221,3282,エンレスト錠 200mg,20,錠剤
1-222,1716,リオナ錠 250mg,20,錠剤
1-223,982,(糖)テネリア錠 20mg,20,錠剤
1-224,2842,(糖)フォシーガ錠 5mg,20,錠剤
1-225,2406,(糖)ジャディアンス錠 10mg,20,錠剤
1-227,2774,フロセミド錠 20mg「NP」,20,錠剤
1-228,3599,ドパコール配合錠L 50,0,錠剤
1-229,3288,フルコナゾールカプセル 50mg「F」,0,カプセル
1-230,3622,ロスバスタチン錠 2.5mg「トーワ」,0,錠剤
1-231,3085,ピタバスタチンCa・OD錠 1mg「トーワ」,150,錠剤
1-233,2188,ランソプラゾールOD錠30mg「トーワ」,20,錠剤
1-234,3201,レベチラセタム錠 500mg「日医工」,20,錠剤
1-235,2282,シロスタゾールOD錠 100mg「トーワ」,20,錠剤
1-236,2291,ドパコール配合錠L 100,100,錠剤
1-237,2644,カンデサルタンOD錠 8mg「サワイ」,20,錠剤
